Timestamp (s),Voltage (V),LeftMotorVelocity (inches / s),RightMotorVelocity (inches / s)
37.82000000000031,2.2399999999999745,33.59850223456939,-32.92247603266659
37.840000000000316,2.2449999999999743,35.910405370513814,-33.42891479389496
37.86000000000032,2.2499999999999742,34.08430339419189,-36.38958660387232
37.88000000000032,2.254999999999974,34.532836747361884,-34.66625124626122
37.900000000000325,2.259999999999974,35.08602421796166,-33.23718484884694
37.92000000000033,2.264999999999974,33.46913728793166,-35.49795814190914
37.94000000000033,2.269999999999974,34.87487462387161,-33.41686689091783
37.960000000000335,2.2749999999999737,35.850238432787734,-35.79027277406073
37.98000000000034,2.2799999999999736,34.277510782501544,-36.94541107716829
38.00000000000034,2.2849999999999735,35.55240286298569,-35.192560728744944
38.020000000000344,2.2899999999999734,36.139015200727556,-35.00654417316889
38.04000000000035,2.2949999999999733,35.638949391415764,-32.20213012271359
38.06000000000035,2.299999999999973,35.14365129500948,-37.21230769230769
38.080000000000354,2.304999999999973,35.850238432787734,-36.139015200727556
38.10000000000036,2.309999999999973,34.640348692403485,-37.89673024523161
38.12000000000036,2.314999999999973,34.892373306573006,-36.55216819973719
38.14000000000036,2.3199999999999728,36.803651759724794,-35.103735487127715
38.160000000000366,2.3249999999999726,36.95031880977683,-36.49940952630889
38.18000000000037,2.3299999999999725,34.84429412501566,-37.42257500336338
38.20000000000037,2.3349999999999724,34.379186750710666,-35.68009235505387
38.220000000000375,2.3399999999999723,35.68466966003849,-35.04182413706223
38.24000000000038,2.344999999999972,34.451572950210554,-36.609897341405635
38.26000000000038,2.349999999999972,35.75806658953593,-38.17236174008508
38.280000000000385,2.354999999999972,37.04381408975895,-38.12004933534329
38.30000000000039,2.359999999999972,37.95878820960699,-36.63883034773446
38.32000000000039,2.364999999999972,35.67551622418879,-34.857393483709274
38.340000000000394,2.3699999999999717,38.12004933534329,-35.74428167566179
38.3600000000004,2.3749999999999716,35.48890022965042,-38.35130290914104
38.3800000000004,2.3799999999999715,37.508360302049624,-37.167557455905936
38.400000000000404,2.3849999999999714,36.93069569835369,-35.152533805130794
38.42000000000041,2.3899999999999713,37.27214257001206,-35.57513748561197
38.44000000000041,2.394999999999971,36.87195121951219,-36.5617770767613
38.46000000000041,2.399999999999971,38.015853491868256,-38.55329175329176
38.480000000000416,2.404999999999971,39.1611994931719,-40.16199826739821
38.50000000000042,2.409999999999971,38.7466220922134,-39.23853858089999
38.52000000000042,2.4149999999999707,41.43014596365803,-40.21425473471158
38.540000000000425,2.4199999999999706,37.72199620287497,-37.77322107550244
38.56000000000043,2.4249999999999705,36.031347150259066,-39.95432347026716
38.58000000000043,2.4299999999999704,37.74759126068666,-38.078302532511984
38.600000000000435,2.4349999999999703,37.20733012306046,-37.392391450463776
38.62000000000044,2.43999999999997,39.078673784771006,-36.37531057931215
38.64000000000044,2.44499999999997,38.31960325113652,-40.017551431448716
38.660000000000444,2.44999999999997,38.37246516760933,-38.92555275678702
38.68000000000045,2.45499999999997,38.015853491868256,-35.13921172309247
38.70000000000045,2.4599999999999698,40.063661241538234,-39.517260974570256
38.720000000000454,2.4649999999999697,38.708878374617306,-39.72040554048265
38.74000000000046,2.4699999999999696,38.33544652701213,-40.88212815990594
38.76000000000046,2.4749999999999694,39.62421652421653,-41.08744460856721
38.78000000000046,2.4799999999999693,40.33671693735499,-41.83516318243345
38.800000000000466,2.4849999999999692,39.590378593794476,-39.05672563886549
38.82000000000047,2.489999999999969,40.22588575560376,-41.22750852230621
38.84000000000047,2.494999999999969,39.562224434646566,-40.542486518000295
38.860000000000475,2.499999999999969,39.06221036371296,-39.24407449209932
38.88000000000048,2.504999999999969,40.798181284834264,-38.383055057265075
38.90000000000048,2.5099999999999687,41.26420412401721,-41.20918518518519
38.920000000000485,2.5149999999999686,42.73498233215548,-42.23534770725782
38.94000000000049,2.5199999999999685,41.94872568240084,-39.7828947368421
38.96000000000049,2.5249999999999684,38.9528077300098,-40.53067171790762
38.980000000000494,2.5299999999999683,42.132990003029384,-40.5720536756126
39.0000000000005,2.534999999999968,41.30709830709831,-40.601663990658295
39.0200000000005,2.539999999999968,40.14460961177659,-42.273860182370825
39.040000000000504,2.544999999999968,40.76230949589684,-39.74310615802258
39.06000000000051,2.549999999999968,42.08199697428139,-41.99305555555556
39.08000000000051,2.5549999999999677,41.22750852230621,-42.79415384615385
39.10000000000051,2.5599999999999676,43.36794512004989,-47.0663282571912
39.120000000000516,2.5649999999999675,43.415326986108944,-41.16649400621578
39.14000000000052,2.5699999999999674,39.82846506300115,-40.69670811997074
39.16000000000052,2.5749999999999673,42.97929542645241,-42.5454267360049
39.180000000000526,2.579999999999967,41.44866636864849,-42.985937258538094
39.20000000000053,2.584999999999967,42.912989817957424,-42.610600490196084
39.22000000000053,2.589999999999967,39.47239960266781,-41.12389118864577
39.240000000000535,2.594999999999967,41.58499028255345,-40.42464758029356
39.26000000000054,2.599999999999967,41.057121771217716,-43.57856807143976
39.28000000000054,2.6049999999999667,40.58389261744966,-41.79116586538462
39.300000000000544,2.6099999999999666,41.90448930400723,-43.280224054768944
39.32000000000055,2.6149999999999665,43.93650292212921,-44.40644955300128
39.34000000000055,2.6199999999999664,43.260031104199065,-43.791246851385395
39.360000000000554,2.6249999999999662,40.708619932679646,-43.442448852100576
39.38000000000056,2.629999999999966,41.43014596365803,-41.70344827586207
39.40000000000056,2.634999999999966,40.88212815990594,-44.77817128139086
39.42000000000056,2.639999999999966,41.59742784507253,-43.55127602943479
39.440000000000566,2.644999999999966,41.417808219178085,-44.00601170700838
39.46000000000057,2.6499999999999657,44.5486867392697,-43.592226923679675
39.48000000000057,2.6549999999999656,44.570100945361325,-42.985937258538094
39.500000000000576,2.6599999999999655,44.4916826615483,-45.48103335513407
39.52000000000058,2.6649999999999654,43.07246825642614,-44.22992526633805
39.54000000000058,2.6699999999999653,44.6129911788292,-42.80732533087104
39.560000000000585,2.674999999999965,43.929564118761846,-43.517209011264086
39.58000000000059,2.679999999999965,44.38519227700654,-45.57044560943643
39.60000000000059,2.684999999999965,43.32741433021807,-41.560137457044675
39.620000000000594,2.689999999999965,45.54805960373342,-42.05654671908074
39.6400000000006,2.6949999999999648,44.456129135368386,-42.813914114206554
39.6600000000006,2.6999999999999647,45.54805960373342,-47.35478379298604
39.680000000000604,2.7049999999999645,45.60032786885246,-45.37716150081567
39.70000000000061,2.7099999999999644,43.915693084938425,-44.63446726572529
39.72000000000061,2.7149999999999643,46.50760742350778,-46.57769591426658
39.74000000000061,2.7199999999999642,46.183297360119546,-46.7892346509672
39.760000000000616,2.724999999999964,46.3294470353098,-44.21586393260213
39.78000000000062,2.729999999999964,45.64522481128979,-45.93922378199835
39.80000000000062,2.734999999999964,45.32540329151051,-43.81884057971015
39.820000000000626,2.739999999999964,46.383525095881275,-44.51304208673388
39.84000000000063,2.7449999999999637,44.12468274111676,-43.53764282360307
39.86000000000063,2.7499999999999636,45.735284445905954,-46.51538461538461
39.880000000000635,2.7549999999999635,48.283631314007984,-47.90940406476059
39.90000000000064,2.7599999999999634,48.68078403920196,-46.915500084331256
39.92000000000064,2.7649999999999633,47.646796848235695,-45.75032894736842
39.940000000000644,2.769999999999963,47.29841863628635,-47.37898143416794
39.96000000000065,2.774999999999963,46.36033333333334,-45.12686567164179
39.98000000000065,2.779999999999963,47.80237154150198,-49.77845382963494
40.000000000000654,2.784999999999963,48.59573724668065,-45.86347897774114
40.02000000000066,2.7899999999999627,51.69336554543765,-45.429038053241875
40.04000000000066,2.7949999999999626,47.671293916024,-48.12491349480969
40.06000000000066,2.7999999999999625,50.85228519195613,-47.82702888583219
40.080000000000666,2.8049999999999624,49.310760503456834,-48.47716974555595
40.10000000000067,2.8099999999999623,49.54791592447453,-46.67930860882698
40.12000000000067,2.814999999999962,48.5025283347864,-48.075008641548564
40.140000000000676,2.819999999999962,48.63822346564085,-47.22614601018675
40.16000000000068,2.824999999999962,49.18868258178603,-51.37827853712597
40.18000000000068,2.829999999999962,51.73182071787242,-47.56532147742818
40.200000000000685,2.8349999999999618,48.075008641548564,-53.033746425166825
40.22000000000069,2.8399999999999617,49.43344588590723,-49.48621241771927
40.24000000000069,2.8449999999999616,49.68065726022504,-49.77845382963494
40.260000000000694,2.8499999999999615,50.89881061299177,-50.101224783861674
40.2800000000007,2.8549999999999613,49.36326530612245,-48.5025283347864
40.3000000000007,2.8599999999999612,46.915500084331256,-48.29201388888889
40.320000000000704,2.864999999999961,51.22688766114181,-45.92405481261351
40.34000000000071,2.869999999999961,54.03302253302254,-52.15863491468217
40.36000000000071,2.874999999999961,51.132720588235294,-51.2080265095729
40.38000000000071,2.879999999999961,53.28773946360153,-49.02396898131829
40.400000000000716,2.8849999999999607,52.86240973014063,-49.58324420677362
40.42000000000072,2.8899999999999606,48.43496430437053,-48.937719915552435
40.44000000000072,2.8949999999999605,49.8766361843285,-52.43393025447691
40.460000000000726,2.8999999999999604,47.346723404255314,-48.23339691347321
40.48000000000073,2.9049999999999603,50.703973751367116,-52.295920285768005
40.50000000000073,2.90999999999996,53.359294072511034,-54.381622678396866
40.520000000000735,2.91499999999996,53.349060222477945,-53.05397673087926
40.54000000000074,2.91999999999996,51.501944084428814,-51.397265336289735
40.56000000000074,2.92499999999996,51.71258598252463,-51.41626617375232
40.580000000000744,2.9299999999999597,50.611717612809315,-50.191627571273905
40.60000000000075,2.9349999999999596,52.952979249952406,-53.318382211999236
40.62000000000075,2.9399999999999595,50.09220241311003,-54.381622678396866
40.640000000000754,2.9449999999999594,55.03798971111991,-48.536381085325424
40.66000000000076,2.9499999999999593,52.32543265613243,-51.151526296432515
40.68000000000076,2.954999999999959,53.400268765598,-52.742131209708
40.70000000000076,2.959999999999959,52.295920285768005,-50.639359184416534
40.720000000000766,2.964999999999959,53.92826677006592,-51.067009362952085
40.74000000000077,2.969999999999959,53.688863153831306,-53.18585086042064
40.76000000000077,2.974999999999959,53.751111111111115,-53.81350357902883
40.780000000000776,2.9799999999999587,49.627475468331845,-53.94918541505043
40.80000000000078,2.9849999999999586,52.335277516462845,-52.84232522796352
40.82000000000078,2.9899999999999585,55.21278285033743,-56.652138492871686
40.840000000000785,2.9949999999999584,54.40289458243692,-54.713217938631
40.86000000000079,2.9999999999999583,56.114988904579384,-52.652280901003216
40.88000000000079,3.004999999999958,55.366640127388536,-54.60581075775422
40.900000000000794,3.009999999999958,53.379773555939366,-54.810246305418715
40.9200000000008,3.014999999999958,55.25665474771554,-50.49228535124342
40.9400000000008,3.019999999999958,55.49920191540304,-51.779970215934476
40.960000000000804,3.0249999999999577,56.06974400322516,-54.907619423608374
40.98000000000081,3.0299999999999576,54.37099296325254,-53.94918541505043
41.00000000000081,3.0349999999999575,55.03798971111991,-58.437394957983194
41.02000000000081,3.0399999999999574,54.59509322865555,-56.95372645372646
41.040000000000816,3.0449999999999573,55.0271018793274,-53.27753303964758
41.06000000000082,3.049999999999957,56.50253910217347,-53.003429878048784
41.08000000000082,3.054999999999957,51.49241021843761,-52.66224914804999
41.100000000000826,3.059999999999957,56.44521103896104,-52.2566222055232
41.12000000000083,3.064999999999957,55.945695897023334,-53.30816404752779
41.14000000000083,3.0699999999999568,56.67522412387938,-54.64872298624754
41.160000000000835,3.0749999999999567,56.8838445807771,-55.72155448717949
41.18000000000084,3.0799999999999566,57.81791727291623,-55.732718894009224
