Timestamp (s),Voltage (V),LeftMotorVelocity (inches / s),RightMotorVelocity (inches / s)
24.079999999999576,6.0,0.0,0.0
24.099999999999575,6.0,37.84002176574616,-19.882916368834884
24.119999999999575,6.0,4.2422791258064025,-13.73707343572522
24.139999999999574,6.0,11.893364118351291,-10.767700228390044
24.159999999999574,6.0,10.557233945650523,-10.086007469451395
24.179999999999573,6.0,18.25209973753281,-14.606280193236715
24.199999999999573,6.0,17.205542153770025,-17.524223524223526
24.219999999999573,6.0,20.50434910806428,-21.063304558534
24.239999999999572,6.0,21.97692976218693,-23.919683549746324
24.25999999999957,6.0,26.106241201313935,-27.96441138031567
24.27999999999957,6.0,29.38848388800845,-31.501925254813138
24.29999999999957,6.0,33.67578692493947,-31.25415730337079
24.31999999999957,6.0,33.380775231009245,-33.420881893548
24.33999999999957,6.0,34.80505505505506,-37.71176789587853
24.35999999999957,6.0,41.20918518518519,-42.506418092909534
24.37999999999957,6.0,42.71529484029484,-44.38519227700654
24.39999999999957,6.0,43.206275240758,-44.6129911788292
24.41999999999957,6.0,45.592853630552376,-44.90104923325263
24.439999999999568,6.0,50.17352092352093,-49.015330396475775
24.459999999999567,6.0,47.78594743171276,-47.44362954119052
24.479999999999567,6.0,49.72506256703611,-53.023637056805185
24.499999999999567,6.0,55.23471008737093,-53.533872209391845
24.519999999999566,6.0,59.133078231292515,-55.1252477209671
24.539999999999566,6.0,61.499447269511386,-54.445488353885295
24.559999999999565,6.0,59.08283772302464,-51.62620638455828
24.579999999999565,6.0,63.638069091741016,-63.34821225233432
24.599999999999564,6.0,66.07173396674584,-55.900723472668815
24.619999999999564,6.0,64.12217611802674,-68.31090373280944
24.639999999999564,6.0,60.97369574747918,-71.63584857069276
24.659999999999563,6.0,67.22136297728372,-60.747324743393754
24.679999999999563,6.0,66.8980278980279,-65.9307892865608
24.699999999999562,6.0,64.47890588780714,-62.98958333333333
24.719999999999562,6.0,76.25054824561404,-67.64640077821012
24.73999999999956,6.0,79.33884768967484,-73.45180881964616
24.75999999999956,6.0,71.72821041774111,-74.67436241610739
24.77999999999956,6.0,69.33250249252244,-79.8398392652124
24.79999999999956,6.0,73.68529801324505,-78.02580645161291
24.81999999999956,6.0,74.17653333333332,-81.35770693185142
24.83999999999956,6.0,82.44279786603438,-76.96790260099613
24.85999999999956,6.0,82.44279786603438,-78.37757114680191
24.87999999999956,6.0,77.41775674923461,-81.64426181391254
24.899999999999558,6.0,80.13886488043792,-82.5896674584323
24.919999999999558,6.0,80.69683782999711,-89.18307149727477
24.939999999999557,6.0,88.44578696343402,-84.75380865326021
24.959999999999557,6.0,82.1021251475797,-81.4291569086651
24.979999999999556,6.0,82.22347029263967,-81.07315651413582
24.999999999999556,6.0,88.95490885833067,-86.03835446953293
25.019999999999555,6.0,84.93496183206106,-88.38957737527804
25.039999999999555,6.0,86.25178294573644,-88.64308476736775
25.059999999999555,6.0,90.75432300163133,-87.19811912225705
25.079999999999554,6.0,82.5896674584323,-89.8746365105008
25.099999999999554,6.0,92.01521667217996,-90.60651465798045
25.119999999999553,6.0,90.90261437908497,-96.48352410683317
25.139999999999553,6.0,92.32061068702289,-91.89362405021474
25.159999999999553,6.0,89.93275137407048,-97.80661040787624
25.179999999999552,6.0,99.84278535534817,-95.62117566173944
25.19999999999955,6.0,94.64511738686629,-99.41458184417442
25.21999999999955,6.0,94.19641043007113,-96.55050329746615
25.23999999999955,6.0,96.31648199445983,-99.2018544935806
25.25999999999955,6.0,96.61757554706494,-94.58075484529071
25.27999999999955,6.0,102.64280442804429,-88.64308476736775
